respondent_id,score,feedback,nps_reason_primary,nps_reason_secondary,primary_category,plan_type,city,tenure_days,source,sprint_id,sprint_start
a9c8b5dec05a,0,,,,,Verma,,135,CT,Sprint 4,2026-08-16
39a5e388b9ba,6,Chalte Chalte band ho jaata hai,Frequent Disconnections,,Bad Internet Experience,Verma,,45,WA,Sprint 4,2026-08-16
6c846fa7e0df,10,Chalte Chalte band ho jaata hai,Frequent Disconnections,,Bad Internet Experience,Verma,,45,WA,Sprint 4,2026-08-16
ced82433858b,3,,,,,Verma,,135,CT,Sprint 4,2026-08-16
cd21242b7e7b,10,,,,,Verma,,135,CT,Sprint 4,2026-08-16
15c686cfc2ad,10,Badhiya Chalta hai,General Good Service,,Good Internet Experience,Verma,,135,WA,Sprint 4,2026-08-16
85f1402b432a,4,,,,,Verma,,135,CT,Sprint 4,2026-08-16
900545beffa4,10,Range kam aati hai,Range Issue,,Bad Internet Experience,Verma,,270,WA,Sprint 4,2026-08-16
0be7e25a6b1e,3,Speed kam aati hai,Slow Speed,,Bad Internet Experience,Verma,,135,WA,Sprint 4,2026-08-16
0701e140cdee,10,Range kam aati hai,Range Issue,,Bad Internet Experience,Verma,,270,WA,Sprint 4,2026-08-16
72899f7c13ea,10,Chalte Chalte band ho jaata hai,Frequent Disconnections,,Bad Internet Experience,Verma,,270,WA,Sprint 4,2026-08-16
e7e7bf085b7d,10,Chalte Chalte band ho jaata hai,Frequent Disconnections,,Bad Internet Experience,Verma,,270,WA,Sprint 4,2026-08-16
8b98e4575f2d,10,Chalte Chalte band ho jaata hai,Frequent Disconnections,,Bad Internet Experience,Verma,,270,WA,Sprint 4,2026-08-16
6c3e0536d721,7,Only No internet connection issue anytime,Frequent Disconnections,,Bad Internet Experience,Verma,,45,CT,Sprint 4,2026-08-16
cb09a48ab420,0,Badhiya Chalta hai,General Good Service,,Good Internet Experience,Verma,,135,WA,Sprint 4,2026-08-16
1f81467b1899,8,,,,,Verma,,270,CT,Sprint 4,2026-08-16
724cd6c19545,10,Best,General Good Service,,Good Internet Experience,Verma,,45,CT,Sprint 4,2026-08-16
525c6ec1f278,10,Speed kam aati hai,Slow Speed,,Bad Internet Experience,Verma,,135,WA,Sprint 4,2026-08-16
