respondent_id,score,feedback,nps_reason_primary,nps_reason_secondary,primary_category,plan_type,city,tenure_days,source,sprint_id,sprint_start
3f05bd606504,10,"28 din ka net, 2 din ka kam net",28-Day Plan Issue,,Offering/ Plan Dissatisfaction,Verma,,270,WA,Sprint 8,2026-10-16
8cfd3c050e23,10,"कोई फ़ालतू खर्चा नहीं, कोई सरदर्द नहीं।
रिचार्ज खत्म हो जाए तो जब मन करे तब रिचार्ज करो और एन्जॉय करो।",Affordable,,Good Price,Verma,,270,CT,Sprint 8,2026-10-16
fef93a5e69f3,5,Affordable,Affordable,,Good Price,Verma,,270,WA,Sprint 8,2026-10-16
17c99d1d5956,8,Affordable and good,Affordable,,Good Price,Verma,,135,CT,Sprint 8,2026-10-16
a5faba4185ac,10,Discount accha milta h,Affordable,,Good Price,Verma,,270,CT,Sprint 8,2026-10-16
5bc83c712767,10,Ise aapane rishtedaron ke pass isliye lagwana chahie kyunki yah bahut hi sasta Wi-Fi hai aur ismein net bhi bahut acche chalta hai aur iske customer service bhi bahut acchi hai Mera to yahi suggestion hai ki sabhi ke Ghar mein yahi Wi-Fi lagna chahie,Affordable,Good Customer Support - Call Centre,Good Price,Verma,,270,WA,Sprint 8,2026-10-16
cf03d053d99d,10,Its economical n fast,Affordable,Good Speed,Good Price,Verma,,270,WA,Sprint 8,2026-10-16
f87ab9b92234,10,Law amount of wifi recharge and best internet connection,Affordable,,Good Price,Verma,,270,WA,Sprint 8,2026-10-16
10cd1c4f455f,1,Low cost,Affordable,,Good Price,Verma,,135,WA,Sprint 8,2026-10-16
12388364ba91,9,Low price with best quality and very important thing net was super duper fast 🎀,Affordable,General Good Service,Good Price,Verma,,135,WA,Sprint 8,2026-10-16
b125c9648475,10,Net ka speed bahut acha h,Affordable,,Good Price,Verma,,45,CT,Sprint 8,2026-10-16
7bd2455e7bfc,10,"No Hidden Charges, Just Recharge and Enjoy",Affordable,,Good Price,Verma,,45,WA,Sprint 8,2026-10-16
58e414f1abb5,10,Sasta h or bohot use ka h network ache aate h koi dikkat ho jaaye toh turant a action le lete h or with in 10-15 min problem solve kr dete h service bohot achi h agr hamare contact me kisi ko wifi lgwana hua tha bina soche sabse phele ham wiom wifi hi suggest karenge,Affordable,Good Customer Support - Call Centre,Good Price,Verma,,270,WA,Sprint 8,2026-10-16
68c9c39415fb,9,Sasta hai,Affordable,,Good Price,Verma,,270,WA,Sprint 8,2026-10-16
6e6c94606603,10,Saste mein best wifi h ye,Affordable,General Good Service,Good Price,Verma,,135,WA,Sprint 8,2026-10-16
e04784bd0dac,10,Srvish bohot acchi h mujhe bohot fayeda hua h km peso m lag jata h,Affordable,General Good Service,Good Price,Verma,,135,CT,Sprint 8,2026-10-16
cf2434f0f6ff,10,Wiom budget me internet deta hai,Affordable,,Good Price,Verma,,270,WA,Sprint 8,2026-10-16
39e12bb46b51,10,Wiom wifi sabse best wifi,Affordable,,Good Price,Verma,,270,WA,Sprint 8,2026-10-16
b14d66ac53b2,10,Yhe wiom Wifi acha h acha chalta h kam damo me h good h,Affordable,,Good Price,Verma,,270,WA,Sprint 8,2026-10-16
dcb85f9d9543,0,"Service sahi nhi hai 
 Or recharge krne per 1 din kharab krdete hai chalta hi nhi hai holiday wale din tho bhut preshan krte hai speed nhi hoti hai mai bhi hata donga ise","RDNI (Recharge Done, No Internet)",Slow Speed,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
d8f614430009,0,Poor technology. Every month my wifi connection is disconnected even though auto payment is enabled. I have to make payment manually.,Autopay,,,Verma,,270,WA,Sprint 8,2026-10-16
f738034a1096,10,,,,,Verma,,135,WA,Sprint 8,2026-10-16
f2e41dc383ef,3,No Customer support no solution,Bad Customer Support - Call Centre,,Bad Cx Support,Verma,,45,WA,Sprint 8,2026-10-16
cc6743efc5f4,0,Problem ka solution nahi dete hai,Bad Customer Support - Call Centre,,Bad Cx Support,Verma,,270,WA,Sprint 8,2026-10-16
3bc4b9fc44a5,0,Vyom ka internet badhiya chalta hai Magar bo Mein Koi Shikayat vagaira do na to sunte Nahin Hai Kyunki Mere Kafi time se Wi-Fi Nahin chal raha hai TV disconnect Ho Gaya Magar Kai bar call kariye,Bad Customer Support - Call Centre,,Bad Cx Support,Verma,,135,WA,Sprint 8,2026-10-16
779a46f92e0c,8,"Wiom internet speed 
 Koi be issue hota ha call karo 
 
 Turant sarvice milte ha 
 
 Sarvice wala staff boy be acha sa baat karta ha 
 
 Wiom sarvice bast salution my experience thank you wiom sarvice teem👍👍😊😊",Good Customer Support - Call Centre ,Good Partner/ Techinician Support,Good Cx Support,Verma,,270,WA,Sprint 8,2026-10-16
4d5a8fdcf9ba,0,"Wiom net sarvice is very poor. I have many time complainant raise but till now nobody respond on my issue 
 Many times asked to wiom field engineer when he has visited my home address but he has not responding",Bad Customer Support - Call Centre,Bad Customer Support - Technician,Bad Cx Support,Verma,,135,CT,Sprint 8,2026-10-16
e4c288e88873,0,Aapka staff jhuth bol kar complaint otp le jata h or bar bar call karne pe bolta h nhi aayega ladka aapko jo karna h karlo hum to soch rahe h next month kisi or company ka lagwa lenge wifi,Bad Customer Support - Technician,,Bad Cx Support,Verma,,270,WA,Sprint 8,2026-10-16
a085cf0cbe86,0,Ammount kum kro,Expensive,,Offering/ Plan Dissatisfaction,Verma,,270,WA,Sprint 8,2026-10-16
dd584b92d7ba,0,High cost of recharge,Expensive,,Offering/ Plan Dissatisfaction,Verma,,270,WA,Sprint 8,2026-10-16
48086ccdb1ab,3,Mujhe sasta plan chahiye,Expensive,,Offering/ Plan Dissatisfaction,Verma,,270,WA,Sprint 8,2026-10-16
ffdbd95f91a3,8,“हर महीने खराब हो जाता है।”,Frequent Disconnections,,Bad Internet Experience,Verma,,270,CT,Sprint 8,2026-10-16
ffaaa0901d67,0,,,,,Verma,,45,CT,Sprint 8,2026-10-16
3e129db8ebeb,5,Rent charag,Expensive,,Offering/ Plan Dissatisfaction,Verma,,270,CT,Sprint 8,2026-10-16
5164212f0e8b,0,Rate,Expensive,,Offering/ Plan Dissatisfaction,Verma,,270,WA,Sprint 8,2026-10-16
9873a1cb38ae,0,Recharge high hai,Expensive,,Offering/ Plan Dissatisfaction,Verma,,270,WA,Sprint 8,2026-10-16
e19c733f8e6b,0,"“आपके Wiom वाले कनेक्शन को बार-बार बंद कर देते हैं, जिसकी वजह से हमें कभी-कभी दो से चार दिन इंतज़ार करना पड़ता है। और हमारे द्वारा जो बिल का भुगतान किया जाता है, उसका भी कोई समाधान नहीं होता — चार दिन तक इंटरनेट न आने पर हमसे बिल ले लिया जाता है।”",Frequent Disconnections,No/ Late Complaint Resolution,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
de1adf4095db,0,“इस फॉर्म को भरने के लिए भी Wiom का WiFi नहीं चल रहा है — बहुत खराब है ये।”,Frequent Disconnections,,Bad Internet Experience,Verma,,135,WA,Sprint 8,2026-10-16
a44dced11504,5,“कई बार बीच-बीच में नेट चला जाता है।”,Frequent Disconnections,,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
1c5ece995e97,9,5ghz stable connection but 2.4 is disconnected every time to time,Frequent Disconnections,,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
50e53a8d819d,7,कभी-कभी Ruk Ruk ke liye internet chalta hai,Frequent Disconnections,,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
fb9eb8dbfc7d,0,बार बार नेट बैंड हो जाता है मैं इस से परेशान हूं मैं खुद दूसरा विकल्प खोज रहा हूं,Frequent Disconnections,,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
4330b7ca47cb,0,एक महिने में 10 बार नेटवर्क इश्यू रहता हैं .. सर्विस अछी नही है कंप्लेंट करके भी कोई फायदा नही होता.,Frequent Disconnections,Bad Customer Support - Call Centre,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
7ea00cf1f881,0,Aapka internet bhout bekar hai ruk ruk kai chalta hai complaint kro toh 10 din mai technician aata hai banane,Frequent Disconnections,No/ Late Complaint Resolution,Bad Internet Experience,Verma,,45,WA,Sprint 8,2026-10-16
24f4b8b4122d,0,Aapki internet Seva 10 se 12 din hamesha kharab rahti hai aur aapke employee koi baat nahin karte Koi support nahin rahata jis Karan hamara Paisa barbad jata hai isliye aapki Seva mein acchi nahin lag Rahi,Frequent Disconnections,Bad Customer Support - Call Centre,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
ca01783eb069,0,"Always low network. 
 Always network error.",Frequent Disconnections,,Bad Internet Experience,Verma,,270,CT,Sprint 8,2026-10-16
60d40d5a8c16,0,Internet proper nhi chalta ha,General Bad Service,,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
015a3ca56329,10,कभी-कभी दिक्कत देती है।,General Bad Service,,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
fc75de50647d,5,,,,,Verma,,45,WA,Sprint 8,2026-10-16
c65ecba57aa7,0,Bad Internet connection . Bar bar network issue hota hai or jadatar wifi network aata he nhi hai band ho jata hai bar bar jis karna bahut problem hoti hai online koi bhi work karne m,Frequent Disconnections,,Bad Internet Experience,Verma,,45,WA,Sprint 8,2026-10-16
dc4572c111d3,3,Bar bar chalte chalte network nahi aate,Frequent Disconnections,,Bad Internet Experience,Verma,,270,CT,Sprint 8,2026-10-16
7b4c94a0383b,0,Bar bar connection failed ho jaata hai,Frequent Disconnections,,Bad Internet Experience,Verma,,135,CT,Sprint 8,2026-10-16
f89ef900451f,0,Bar bar disconnect ho jaata hai apne ap,Frequent Disconnections,,Bad Internet Experience,Verma,,135,CT,Sprint 8,2026-10-16
21205e6e1353,0,"Bekar h wiom net koi mt lgwana
Bhai mera wifi baar baar chla jata hai service provider ko baar baar call krna pdta h online classes khrab ho jati hai",Frequent Disconnections,,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
0e14867a0499,10,Bahut achcha,General Good Service,,Good Internet Experience,Verma,,45,WA,Sprint 8,2026-10-16
7f1861efe7e9,0,Bekar net service time pe nhi hai raat ke 12 baje ke baad nhi chalta then subh morning 9 baje chalta hai net,Frequent Disconnections,,Bad Internet Experience,Verma,,45,WA,Sprint 8,2026-10-16
73f3521dec23,0,Bhai saab aapka wifi me month ke bich bich me chalna band ho jata 1 pura din nikalne ke bad costumer care me complaint karne ke baad net chalu ho jata h y month me 3 baar to hota hi hai 28 din ke recharge me 3 din falti chale jate h please internet providing facility theek karo,Frequent Disconnections,28-Day Plan Issue,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
de3f1cf72c42,0,Bht baar band hota h.baar baar complaint hi karte rho,Frequent Disconnections,,Bad Internet Experience,Verma,,135,WA,Sprint 8,2026-10-16
7b6af8a4e4de,10,Sahi net chal raha hai,General Good Service,,Good Internet Experience,Verma,,45,WA,Sprint 8,2026-10-16
808b62e16fb2,2,Bich me ruk jata he,Frequent Disconnections,,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
dc190acf3c65,1,chalne se jada band hota h,Frequent Disconnections,,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
5b9684a8440d,0,Chalta to h nhi ye 10 din chlta h 5 din band rehta h paise west,Frequent Disconnections,,Bad Internet Experience,Verma,,135,WA,Sprint 8,2026-10-16
b2029344ceea,1,Chalta to hai nahi,Frequent Disconnections,,Bad Internet Experience,Verma,,135,CT,Sprint 8,2026-10-16
f356bcbce90a,0,Bekar Hai har din problem Nate nhi chal ta hai,Frequent Disconnections,,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
5c9329484429,0,Chalte chalte band ho jata h,Frequent Disconnections,,Bad Internet Experience,Verma,,135,WA,Sprint 8,2026-10-16
e471039c2d1d,0,Every week tecnical issue,Frequent Disconnections,,Bad Internet Experience,Verma,,135,CT,Sprint 8,2026-10-16
b97996b56e4b,0,Har baar internet kharab hona or high ping issues speed me Kami hona Sath hi same problem fir 2 din baad hona!,Frequent Disconnections,,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
b2a36190e56c,5,Har mahime 2 din ya 4 don ke liye net band jarur hota h or aapki is kharab service ki vajah se,Frequent Disconnections,,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
bbec5187507b,5,In a month 5-6 times there is internet not working issue,Frequent Disconnections,,Bad Internet Experience,Verma,,45,WA,Sprint 8,2026-10-16
2be1451ca545,5,Intarnatt brak ho kar chalta hai,Frequent Disconnections,,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
f8467cf483ce,0,Internet bucks maarta ha speed acchi nahi Ha game khelne mein problem aati Ha,Frequent Disconnections,,Bad Internet Experience,Verma,,135,WA,Sprint 8,2026-10-16
0874f62ef50a,0,Bohot sari problem aana,General Bad Service,,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
cd93f999b8a6,0,"Iske networks achhe nhi h har. 
 Dusre din network problem hone 
 lgti h",Frequent Disconnections,,Bad Internet Experience,Verma,,135,WA,Sprint 8,2026-10-16
6d4a63980ddb,0,Its not work properly all time,Frequent Disconnections,,Bad Internet Experience,Verma,,270,CT,Sprint 8,2026-10-16
d46b4e07dc5e,10,,,,,Verma,,45,CT,Sprint 8,2026-10-16
4c93f5ca86bb,0,Mera internet kabhi bhi band ho jaata hai. Feild ka banda aata hai dusre ka thiik kr k mera kharaab kr jaata hai. Aapki customer care pr baat nhiin ho paati meri. Main time pr recharge kraata hun mujhe aapki service se satisfaction nhiin hai. Abhi bhi dusre ki wifi connect kr k aapko msg kr rhaa hun. Bhaai ise thiik kr skte ho toh kro wrna ukhaad k lekr jaao apna DaBBaaa. DHaniyAwaaD,Frequent Disconnections,Bad Customer Support - Technician,Bad Internet Experience,Verma,,270,CT,Sprint 8,2026-10-16
b68a5dc40b7b,0,Net apni marzi se aata jaata h,Frequent Disconnections,,Bad Internet Experience,Verma,,135,WA,Sprint 8,2026-10-16
d15c327012cb,0,Net bilkul bi parfect nhi chlta h,Frequent Disconnections,,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
64b4ead8624f,0,NET cancsion nahi aata hai,Frequent Disconnections,,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
19702b305134,6,Net chalta hai band Ho jata Hai kabhi network nahin aata kabhi Koi Ishu kabhi Koi Ishu,Frequent Disconnections,,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
2f3d96fa0096,0,Net disterbenc problem hi problem hoti,Frequent Disconnections,,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
1d01c647d5ac,0,Net nhi chlta h bilkul nhi baar baar complain krne pr bhi kuch hota h bekar wifi h bilkul,Frequent Disconnections,No/ Late Complaint Resolution,Bad Internet Experience,Verma,,135,CT,Sprint 8,2026-10-16
22795094404f,8,Net rukta hai kabhi kabhi😉,Frequent Disconnections,,Bad Internet Experience,Verma,,45,CT,Sprint 8,2026-10-16
c18448e796c9,0,Net slow calta hai or kai baar atak jata hai,Frequent Disconnections,Slow Speed,Bad Internet Experience,Verma,,135,CT,Sprint 8,2026-10-16
2d4d8105ffb4,5,Net slow hojata ha apna aap kabhi kabhi 2 ghnata tak nhi chlta,Frequent Disconnections,Slow Speed,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
a6e918be2565,7,No internet multiple times a day. Cant be trusted when there is a meeting. Internet speed also fluctuating,Frequent Disconnections,Slow Speed,Bad Internet Experience,Verma,,45,CT,Sprint 8,2026-10-16
63d431347a80,0,"Poor connectivity, frequently disconnected",Frequent Disconnections,,Bad Internet Experience,Verma,,135,CT,Sprint 8,2026-10-16
c8ab0b99c8d5,0,Sahi time pe net kaam karna chod deta hai,Frequent Disconnections,,Bad Internet Experience,Verma,,135,WA,Sprint 8,2026-10-16
e9b2a639e1e2,5,Sahi to chalta hai “बीच-बीच में mein ruk jata hai,Frequent Disconnections,,Bad Internet Experience,Verma,,270,CT,Sprint 8,2026-10-16
9ae2225133c8,7,Some time internet not working,Frequent Disconnections,,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
6cd85ff7ad3c,5,Manth me net problem ata hai,Frequent Disconnections,,Bad Internet Experience,Verma,,135,WA,Sprint 8,2026-10-16
22384e9d7dc1,0,The Wi-Fi is always down,Frequent Disconnections,,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
5f45b9c9e57b,0,"There is a lot of network problem. There is a network issue for a long time, 3 to 4 days a week.",Frequent Disconnections,,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
9bdbcc0940ab,0,Ut not provide good service .. 1 week in month not getting internet service always stuck and disconnect,Frequent Disconnections,,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
560de60201f5,0,Wi-Fi Stop working again and again,Frequent Disconnections,,Bad Internet Experience,Verma,,270,CT,Sprint 8,2026-10-16
ce8dec6dc590,8,Wiomwifi chalta bhot achacha he speed bhi kafi achchi provide krta hai magar kabhi bhai disconnect ho jata hai or kafi time baad jakr connect hota hai or chalta bhi nhi 5-6 minute mujhe bass wiom se yahi shikayat hai agar mujhe ye pareshania na uthani padti to me ise apne rishtedaro or dosto ko wiomwifi ki slah zaroor deta.,Frequent Disconnections,,Bad Internet Experience,Verma,,270,WA,Sprint 8,2026-10-16
ade1ace6c707,0,Worst ISP provider. I am writing with my deep dissatisfaction with the internet services. Within 8 months i have constantly faced connectivity issue that severaly impact my work and daily activities. I will never recommend to anyone,Frequent Disconnections,,Bad Internet Experience,Verma,,270,CT,Sprint 8,2026-10-16
7cb578e8b5db,6,5 times Regular connection problem in a month,Frequent Disconnections,,Bad Internet Experience,Verma,,45,WA,Sprint 8,2026-10-16
