respondent_id,score,feedback,nps_reason_primary,nps_reason_secondary,primary_category,plan_type,city,tenure_days,source,sprint_id,sprint_start
02264332dd83,0,"“क्योंकि चार्ज पूरे महीने का सेवायें मात्र 28 दिन या इससे कम दिन की हैं, यह तो अपने ग्राहकों से ठगी करना होगा।”",28-Day Plan Issue,,Offering/ Plan Dissatisfaction,Verma,,270,WA,Sprint 12,2026-12-15
a83c79af148d,1,Acha chalta hai .. baz plan ki awadhi bhada di jaye 28 ki jagh 30 din krdo same plan me,28-Day Plan Issue,,Offering/ Plan Dissatisfaction,Verma,,270,WA,Sprint 12,2026-12-15
a3888416c77c,0,Other company month count 30 days but your comp count 28 day . According to you 24 day extra charges received in year.,28-Day Plan Issue,Frequent Disconnections,Offering/ Plan Dissatisfaction,Verma,,270,WA,Sprint 12,2026-12-15
7d6aec01b0de,2,"Reason 1.yeh hai ki month me recharge aap log 565rs ka hota hai but milta hai 28 days ka .
 Reason 2. Mostly internet break hota rehta hai. Abhi bhi mai jo form bhar raha hu apne ghar beth ke apne mobile network se internet chala raha hai pichle 2 ghante se internet nahi araha hai . 
 Reason 3.aap logo ka proper customer care number nahi hai jisse network distributor k khilaaf complaint kar nhi sakte . 
 So mai kisi ko suggestion nahi dunga ki aapka connection le",28-Day Plan Issue,,Offering/ Plan Dissatisfaction,Verma,,135,WA,Sprint 12,2026-12-15
bf1e9567ac27,10,Apke is wifi ko har koi lagwa sakta hai..sabse badi khaasiyat yahi hai...aur plan bhi achha hi hai....,Affordable,,Good Price,Verma,,45,WA,Sprint 12,2026-12-15
b0f2db6fb7a7,10,Because this connection does not cost much money and is the best option for middle class families.,Affordable,,Good Price,Verma,,270,WA,Sprint 12,2026-12-15
3dc5d345314d,10,Best service best price,Affordable,,Good Price,Verma,,135,WA,Sprint 12,2026-12-15
685b607dcc2f,8,Budget and good conectivity,Affordable,,Good Price,Verma,,135,WA,Sprint 12,2026-12-15
732a6c7cd421,9,"Easy recharge method, additional benefit of wifi connect from any wiom router, no initial big amount process",Affordable,,Good Price,Verma,,270,WA,Sprint 12,2026-12-15
ec46af9a2315,10,Economy,Affordable,,Good Price,Verma,,45,CT,Sprint 12,2026-12-15
4411dfe40b66,9,"Good condition and all time service provid free off cost
 Net properly all time work easily online working no disturbance no any problem good condition wifi thanks 👍",Affordable,General Good Service,Good Price,Verma,,270,CT,Sprint 12,2026-12-15
6b71a1a32188,10,Hamko sab network me se wiom ka network sabse bast lga or wiom network sab network se bast or budget me hai,Affordable,,Good Price,Verma,,135,WA,Sprint 12,2026-12-15
f5328cc5cb60,10,Hum logo ki bajat me hai aur bahut achha speed hai,Affordable,Good Speed,Good Price,Verma,,270,WA,Sprint 12,2026-12-15
2790a3cb9df4,10,Kam kimat hai,Affordable,,Good Price,Verma,,270,CT,Sprint 12,2026-12-15
ea61a9def810,8,Price k according best h,Affordable,,Good Price,Verma,,45,WA,Sprint 12,2026-12-15
1f17b4a06774,4,,,,,Verma,,45,WA,Sprint 12,2026-12-15
cab76c316ae4,10,Reasonable rate and good network and survice,Affordable,General Good Service,Good Price,Verma,,270,WA,Sprint 12,2026-12-15
33ed51584137,7,Sasta h,Affordable,,Good Price,Verma,,270,WA,Sprint 12,2026-12-15
7eeac905d7ec,10,Sasta tikau mila julake theek h,Affordable,,Good Price,Verma,,270,WA,Sprint 12,2026-12-15
c28dec5a7291,10,Service is good in affordable price,Affordable,,Good Price,Verma,,270,WA,Sprint 12,2026-12-15
4e91f2f936b1,10,Wifi kam paise m sab use kr sakte h or network acha h,Affordable,,Good Price,Verma,,270,WA,Sprint 12,2026-12-15
ec94efa83826,10,Wiom accha hai aur sasta hai,Affordable,,Good Price,Verma,,270,WA,Sprint 12,2026-12-15
c735d4f4a809,5,Wiom waifai lagwana asan hai kam peso me lag jata hai par isme ek Kami bhi hai net dikkat karta hai kabhi kabhi,Affordable,General Bad Service,Good Price,Verma,,135,CT,Sprint 12,2026-12-15
600eab59e2eb,0,"“4 से 5 घंटे तो कई दिन आपका इंटरनेट बंद रहता है।
ऑनलाइन कंप्लेंट का भी कोई फायदा नहीं।”",Frequent Disconnections,Bad Customer Support - Call Centre,Bad Internet Experience,Verma,,135,WA,Sprint 12,2026-12-15
285d7be2b5b9,10,,,,,Verma,,135,CT,Sprint 12,2026-12-15
